id,group,priority,status,coverage,note,repair_route,section
GOV-001,GOV,P0,GOVERNANCE,FULLY_INVESTIGATED,Active governance rule already enforced by this investigation's process,,3. Requirements governance
GOV-002,GOV,P0,GOVERNANCE,FULLY_INVESTIGATED,Active governance rule already enforced by this investigation's process,,3. Requirements governance
GOV-003,GOV,P0,GOVERNANCE,FULLY_INVESTIGATED,Active governance rule already enforced by this investigation's process,,3. Requirements governance
GOV-004,GOV,P0,GOVERNANCE,FULLY_INVESTIGATED,Active governance rule already enforced by this investigation's process,,3. Requirements governance
GOV-005,GOV,P0,GOVERNANCE,FULLY_INVESTIGATED,Active governance rule already enforced by this investigation's process,,3. Requirements governance
GOV-006,GOV,P1,GOVERNANCE,FULLY_INVESTIGATED,Active governance rule already enforced by this investigation's process,,3. Requirements governance
GOV-007,GOV,P1,GOVERNANCE,FULLY_INVESTIGATED,Active governance rule already enforced by this investigation's process,,3. Requirements governance
GOV-008,GOV,P1,GOVERNANCE,FULLY_INVESTIGATED,Active governance rule already enforced by this investigation's process,,3. Requirements governance
GOV-009,GOV,P1,PARTIAL,DEFERRED_WITH_DESIGN,CI traceability check designed via the traceability report + a roadmap card (validate_requirements.py),,3. Requirements governance
GOV-010,GOV,P1,GOVERNANCE,FULLY_INVESTIGATED,Active governance rule already enforced by this investigation's process,,3. Requirements governance
GOV-011,GOV,P1,GOVERNANCE,FULLY_INVESTIGATED,Active governance rule already enforced by this investigation's process,,3. Requirements governance
GOV-012,GOV,P2,PARTIAL,PARTIALLY_INVESTIGATED,[review-downgraded] prototype manifest carries requirement IDs; not the frozen schema,,3. Requirements governance
GOV-013,GOV,P1,GOVERNANCE,FULLY_INVESTIGATED,Active governance rule already enforced by this investigation's process,,3. Requirements governance
GOV-014,GOV,P1,GOVERNANCE,FULLY_INVESTIGATED,Active governance rule already enforced by this investigation's process,,3. Requirements governance
GOV-015,GOV,P1,GOVERNANCE,FULLY_INVESTIGATED,Active governance rule already enforced by this investigation's process,,3. Requirements governance
GOV-016,GOV,P2,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,3. Requirements governance
GOV-017,GOV,P1,GOVERNANCE,FULLY_INVESTIGATED,Active governance rule already enforced by this investigation's process,,3. Requirements governance
GOV-018,GOV,P1,GOVERNANCE,FULLY_INVESTIGATED,Active governance rule already enforced by this investigation's process,,3. Requirements governance
GOV-019,GOV,P2,BACKLOG,DEFERRED_WITH_DESIGN,Explicitly tracked backlog item excluded from the active mandatory mission queue,,3. Requirements governance
GOV-020,GOV,P2,BACKLOG,DEFERRED_WITH_DESIGN,Explicitly tracked backlog item excluded from the active mandatory mission queue,,3. Requirements governance
GOV-021,GOV,P2,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,3. Requirements governance
GOV-022,GOV,P1,GOVERNANCE,FULLY_INVESTIGATED,Active governance rule already enforced by this investigation's process,,3. Requirements governance
GOV-023,GOV,P1,GOVERNANCE,FULLY_INVESTIGATED,Active governance rule already enforced by this investigation's process,,3. Requirements governance
GOV-026,GOV,P1,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,3. Requirements governance
GOV-024,GOV,P2,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,3. Requirements governance
GOV-025,GOV,P1,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,3. Requirements governance
BIZ-001,BIZ,P0,GOVERNANCE,FULLY_INVESTIGATED,Active governance rule already enforced by this investigation's process,,4. Business and product outcomes
BIZ-002,BIZ,P1,PARTIAL,PARTIALLY_INVESTIGATED,Product-understanding criteria depend on Phase-20 presentation standard; measurement hierarchy designed,,4. Business and product outcomes
BIZ-003,BIZ,P1,GOVERNANCE,FULLY_INVESTIGATED,Active governance rule already enforced by this investigation's process,,4. Business and product outcomes
BIZ-004,BIZ,P1,RESEARCH-GATED,DEFERRED_WITH_DESIGN,Measurement hierarchy designed; feasibility study itself is Phase-20 homework in roadmap,,4. Business and product outcomes
BIZ-005,BIZ,P1,GOVERNANCE,FULLY_INVESTIGATED,Active governance rule already enforced by this investigation's process,,4. Business and product outcomes
BIZ-006,BIZ,P1,PLANNED,PARTIALLY_INVESTIGATED,Per-repo tailoring principle encoded; cross-pilot tailoring proof deferred to roadmap (VAL-016 wave),,4. Business and product outcomes
BIZ-007,BIZ,P1,PLANNED,FULLY_INVESTIGATED,Three-way reconciliation preserves verified facts by design; the repository-file proof exercises no-fact-loss,,4. Business and product outcomes
BIZ-008,BIZ,P2,PLANNED,DEFERRED_WITH_DESIGN,Relationship-language quality rides on existing validators + Phase-21 presentation work in roadmap,,4. Business and product outcomes
OWN-001,OWN,P0,GOVERNANCE,FULLY_INVESTIGATED,The control-class inventory freezes one class per surface,,"5. Scope, control, and ownership boundaries"
OWN-002,OWN,P0,GOVERNANCE,FULLY_INVESTIGATED,Five classes fixed; no additions,,"5. Scope, control, and ownership boundaries"
OWN-003,OWN,P0,PLANNED,FULLY_INVESTIGATED,The generated-surface audit proof asserts no write path for generated surfaces,,"5. Scope, control, and ownership boundaries"
OWN-004,OWN,P0,IMPLEMENTED,FULLY_INVESTIGATED,The handoff proof asserts no release/package write handler,,"5. Scope, control, and ownership boundaries"
OWN-005,OWN,P0,GOVERNANCE,FULLY_INVESTIGATED,Active governance rule already enforced by this investigation's process,,"5. Scope, control, and ownership boundaries"
OWN-006,OWN,P0,PLANNED,FULLY_INVESTIGATED,The settings proof demonstrates a dry-run-first gated settings workflow (no remote write in pilot),,"5. Scope, control, and ownership boundaries"
OWN-007,OWN,P0,PLANNED,FULLY_INVESTIGATED,The social-preview proof demonstrates the manual-UI contract with PREPARED_FOR_MANUAL_APPLY,,"5. Scope, control, and ownership boundaries"
OWN-008,OWN,P0,GOVERNANCE,FULLY_INVESTIGATED,Active governance rule already enforced by this investigation's process,,"5. Scope, control, and ownership boundaries"
OWN-009,OWN,P0,GOVERNANCE,FULLY_INVESTIGATED,Active governance rule already enforced by this investigation's process,,"5. Scope, control, and ownership boundaries"
OWN-010,OWN,P0,PLANNED,FULLY_INVESTIGATED,Blocking handoff on ambiguous/missing facts in contracts + the handoff proof's response loop,,"5. Scope, control, and ownership boundaries"
OWN-011,OWN,P1,PLANNED,PARTIALLY_INVESTIGATED,Editorial-authority bounds designed; fine-grained rules await Phase-20 presentation standard,,"5. Scope, control, and ownership boundaries"
OWN-012,OWN,P1,IMPLEMENTED,FULLY_INVESTIGATED,The generated-surface audit names the underlying cause; no field edits,,"5. Scope, control, and ownership boundaries"
OWN-013,OWN,P1,PARTIAL,FULLY_INVESTIGATED,The handoff proof: findings handed to product owner,,"5. Scope, control, and ownership boundaries"
OWN-014,OWN,P1,PLANNED,PARTIALLY_INVESTIGATED,Permission+rollback recorded in the settings proof; full github-surface-control doc is Phase-20 research in roadmap,,"5. Scope, control, and ownership boundaries"
OWN-015,OWN,P1,PLANNED,PARTIALLY_INVESTIGATED,[review-downgraded] action_mode present in the prototype manifest; not frozen,,"5. Scope, control, and ownership boundaries"
FACT-001,FACT,P0,PARTIAL,PARTIALLY_INVESTIGATED,[review-downgraded] block-on-missing-facts behavior proven (the stale-facts and handoff proofs); ProductFactsV1 record not yet frozen,,6. Product-facts and provenance requirements
FACT-002,FACT,P0,PLANNED,DEFERRED_WITH_DESIGN,[review-downgraded] minimum-fields listed but the schema is not yet frozen,,6. Product-facts and provenance requirements
FACT-003,FACT,P0,PLANNED,PARTIALLY_INVESTIGATED,[review-downgraded] claim->fact matching is a prototype heading/bullet MVP; full contract pending,,6. Product-facts and provenance requirements
FACT-004,FACT,P0,PLANNED,FULLY_INVESTIGATED,Missing facts => blocking finding (contracts + the handoff proof),,6. Product-facts and provenance requirements
FACT-005,FACT,P0,PLANNED,FULLY_INVESTIGATED,Conflicting sources => owner resolution before change (contract + response loop),,6. Product-facts and provenance requirements
FACT-006,FACT,P1,PLANNED,DEFERRED_WITH_DESIGN,[review-downgraded] provenance fields specified; ProductFactsV1 schema not written yet,,6. Product-facts and provenance requirements
FACT-007,FACT,P1,PLANNED,PARTIALLY_INVESTIGATED,Verified-example field designed; execution/verification mechanics deferred to roadmap,,6. Product-facts and provenance requirements
FACT-008,FACT,P1,PLANNED,FULLY_INVESTIGATED,"Release facts via handoff, never stale prose (the handoff proof)",,6. Product-facts and provenance requirements
FACT-009,FACT,P1,PLANNED,DEFERRED_WITH_DESIGN,[review-downgraded] limitation preservation designed; no dedicated proof this sprint,,6. Product-facts and provenance requirements
FACT-010,FACT,P2,PLANNED,DEFERRED_WITH_DESIGN,[review-downgraded] dependency_fact_ids designed in the state model; targeted reevaluation not proven,,6. Product-facts and provenance requirements
FACT-011,FACT,P1,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,6. Product-facts and provenance requirements
FACT-012,FACT,P2,IMPLEMENTED,ALREADY_PROVEN,Phase 0-15 engine behavior; verified in the current-state reconstruction against code + tests + runs/ evidence,,6. Product-facts and provenance requirements
FACT-013,FACT,P2,BACKLOG,DEFERRED_WITH_DESIGN,Explicitly tracked backlog item excluded from the active mandatory mission queue,,6. Product-facts and provenance requirements
RDM-001,RDM,P0,PARTIAL,DEFERRED_WITH_DESIGN,"Callout retirement is a roadmap card (production change, out of investigation scope)",,7. README presentation requirements
RDM-002,RDM,P0,IMPLEMENTED,PARTIALLY_INVESTIGATED,Product-first opening principle encoded; measurable criteria await Phase-20 standard,,7. README presentation requirements
